AHK Function;code line;AHK File
"_SQLite_CurrentQuery(Query = """")";1009;Mini_Framwork\0.3\System\MfUnicode\MfSQLite_L.ahk
"_SQLite_CurrentQuery(Query = """")";953;SQLite_L.ahk
_SQLite_ErrCode($hDB, ByRef $sErr);969;SQLite.ahk
_SQLite_ErrMsg($hDB, ByRef $sErr);932;SQLite.ahk
_SQLite_Exec($hDB, $sSQL);389;SQLite.ahk
_SQLite_FetchData($hQuery, ByRef $sRow);542;SQLite.ahk
_SQLite_FetchNames($hQuery, ByRef $sNames);482;SQLite.ahk
_SQLite_GetTable($hDB, $sSQL, ByRef $sResult, ByRef $iRows, ByRef $iCols, $iMaxResult = -1, $iCharSize = 64);268;SQLite.ahk
_SQLite_LastInsertRowID($hDB, ByRef $iRow);820;SQLite.ahk
_SQLite_LibVersion();799;SQLite.ahk
"_SQLite_ModuleHandle(Handle = """")";967;Mini_Framwork\0.3\System\MfUnicode\MfSQLite_L.ahk
"_SQLite_ModuleHandle(Handle = """")";911;SQLite_L.ahk
_SQLite_OpenDB($sDBFile);174;SQLite.ahk
_SQlite_Query($hDB, $sSQL);434;SQLite.ahk
_SQLite_QueryFinalize($hQuery);639;SQLite.ahk
_SQLite_QueryReset($hQuery);683;SQLite.ahk
_SQLite_ReturnCode(RC);1042;Mini_Framwork\0.3\System\MfUnicode\MfSQLite_L.ahk
_SQLite_ReturnCode(RC);985;SQLite_L.ahk
_SQLite_SetTimeout($hDB, $iTimeout = 1000);1005;SQLite.ahk
_SQLite_Shutdown();152;SQLite.ahk
_SQLite_SQLiteExe($sDBFile, $sInput, ByRef $sOutput);725;SQLite.ahk
_SQLite_Startup();132;SQLite.ahk
_SQLite_StrToUTF8(Str, ByRef UTF8);951;Mini_Framwork\0.3\System\MfUnicode\MfSQLite_L.ahk
_SQLite_StrToUTF8(Str, ByRef UTF8);895;SQLite_L.ahk
_SQLite_TotalChanges($hDB, ByRef $iRows);895;SQLite.ahk
_SQLite_UTF8ToStr(UTF8, ByRef Str);959;Mini_Framwork\0.3\System\MfUnicode\MfSQLite_L.ahk
_SQLite_UTF8ToStr(UTF8, ByRef Str);903;SQLite_L.ahk
_StartInputThread();405;AppFactory.ahk
_StrPutVar(String, ByRef Var, encoding);2325;Mini_Framwork\0.3\System\MfChar.ahk
_struct(type,p);219;Base.ahk
_Tables(byref t);268;Markdown2HTML.ahk
_TaskDialog_CureStringArray(ByRef sString);436;TaskDialog (2).ahk
_TaskDialog_PrepSplitString(ByRef sString);413;TaskDialog (2).ahk
_TaskDialog_ResolveIcon(sIcon);460;TaskDialog (2).ahk
_Text2Hex(String);2331;Mini_Framwork\0.3\System\MfChar.ahk
_tmp(type, address);1274;C.ahk
_toclipboard( ByRef data, size );18;WinClip.ahk
_ToString();92;CHotKey.ahk
_ToString(fieldCount);569;Mini_Framwork\0.3\System\MfVersion.ahk
_TrimHelperA(trimType);4371;Mini_Framwork\0.3\System\MfString.ahk
_TrimHelperB(trimChars, trimType);4410;Mini_Framwork\0.3\System\MfString.ahk
_TrimHelperC(trimChars, trimType);4467;Mini_Framwork\0.3\System\MfString.ahk
_TrimWhiteSpaceAndNull(value);988;Mini_Framwork\0.3\System\MfBool.ahk
_TrimWhiteSpaceAndNullLeft(value);1019;Mini_Framwork\0.3\System\MfBool.ahk
_TrimWhiteSpaceAndNullRight(value);993;Mini_Framwork\0.3\System\MfBool.ahk
_TryParseComponent(component, componentName, ByRef result, ByRef parsedComponent);665;Mini_Framwork\0.3\System\MfVersion.ahk
_TryParseEnumItem(EnumType, value, ignoreCase, ByRef parseResult);1207;Mini_Framwork\0.3\System\MfEnum.ahk
_TryParseVersion(version, ByRef result);616;Mini_Framwork\0.3\System\MfVersion.ahk
_UIA_AddRef(pSelf);3071;uia.ahk
_UIA_AddRef(pSelf);2311;UIA2.ahk
_UIA_QueryInterface(pSelf, pRIID, pObj);3067;uia.ahk
_UIA_QueryInterface(pSelf, pRIID, pObj);2307;UIA2.ahk
_UIA_Release(pSelf);3073;uia.ahk
_UIA_Release(pSelf);2313;UIA2.ahk
_uIntToInt(uInt);1362;Mini_Framwork\0.3\System\MfInt16.ahk
_uIntToInt(uInt);1345;Mini_Framwork\0.3\System\MfInt64.ahk
_UpdateVersion();278;Mini_Framwork\0.3\System\MfHashTable.ahk
_waitClipReady( timeout = 10000 );390;WinClip.ahk
A___ArrayBin(ByRef Array,offset,length);381;A.ahk
A___ArrayInsideView(Array);400;A.ahk
A_Array(byRef Array);307;A.ahk
A_ArrayMM(Target, Source, Length);376;A.ahk
A_Count(byRef Array);312;A.ahk
A_Del(ByRef Array, Item=-1);190;A.ahk
A_Dump(ByRef Array);360;A.ahk
"A_Explode(ByRef Array, dString, sString, Limit=0, trimChars="""", trimCharsIsRegEx=False, dStringIsRegEx=False)";148;A.ahk
A_Get(ByRef Array, Index);95;A.ahk
"A_Implode(ByRef Array, glue="" "")";117;A.ahk
A_Init(byRef Array);323;A.ahk
A_Length(ByRef Array);350;A.ahk
A_Merge(Byref Array, ByRef sArray);295;A.ahk
A_Pop(ByRef Array);222;A.ahk
A_Put(ByRef Array, ByRef Data, Index=-1, dSize=-1);8;A.ahk
"A_SendMessage(p_msg, p_wParam="""", p_lParam="""", p_ctrl="""", p_title="""", p_text="""", p_excludetitle="""", p_excludetext="""")";158;Misc_Functions_2.ahk
A_Shift(ByRef Array);240;A.ahk
A_Size(ByRef Array);339;A.ahk
A_Slice(ByRef Array, ByRef sArray, Start, End);272;A.ahk
A_Swap(ByRef Array, IdxA, IdxB);257;A.ahk
Abandon();404;wam.ahk
AbandonAllStoryboards();51;wam.ahk
ACC_AccessibleChildren(pacc, ByRef varChildren);19;ACC_more.ahk
ACC_AccessibleObjectFromEvent(hWnd, idObject, idChild, ByRef _idChild_);25;ACC_more.ahk
"ACC_AccessibleObjectFromPoint(x = """", y = """", ByRef _idChild_ = """")";32;ACC_more.ahk
"ACC_AccessibleObjectFromWindow(hWnd = """", idObject = -4)";40;ACC_more.ahk
Acc_Child(Acc, ChildId=0);105;ACC.ahk
