WM_PSD_MARGINRECT,0x403,1027
WM_PSD_GREEKTEXTRECT,0x404,1028
WM_PSD_ENVSTAMPRECT,0x405,1029
WM_PSD_YAFULLPAGERECT,0x406,1030
WM_CHOOSEFONT_SETLOGFONT,0x465,1125
WM_CHOOSEFONT_SETFLAGS,0x466,1126
ACM_OPENA,0x464,1124
ACM_PLAY,0x465,1125
ACM_STOP,0x466,1126
ACM_OPENW,0x467,1127
ACM_ISPLAYING,0x468,1128
BCM_GETIDEALSIZE,0x1601,5633
BCM_SETIMAGELIST,0x1602,5634
BCM_GETIMAGELIST,0x1603,5635
BCM_SETTEXTMARGIN,0x1604,5636
BCM_GETTEXTMARGIN,0x1605,5637
BCM_SETDROPDOWNSTATE,0x1606,5638
BCM_SETSPLITINFO,0x1607,5639
BCM_GETSPLITINFO,0x1608,5640
BCM_SETNOTE,0x1609,5641
BCM_GETNOTE,0x160A,5642
BCM_GETNOTELENGTH,0x160B,5643
BCM_SETSHIELD,0x160C,5644
BM_GETCHECK,0xF0,240
BM_SETCHECK,0xF1,241
BM_GETSTATE,0xF2,242
BM_SETSTATE,0xF3,243
BM_SETSTYLE,0xF4,244
BM_CLICK,0xF5,245
BM_GETIMAGE,0xF6,246
BM_SETIMAGE,0xF7,247
BM_SETDONTCLICK,0xF8,248
CB_GETEDITSEL,0x140,320
CB_LIMITTEXT,0x141,321
CB_SETEDITSEL,0x142,322
CB_ADDSTRING,0x143,323
CB_DELETESTRING,0x144,324
CB_DIR,0x145,325
CB_GETCOUNT,0x146,326
CB_GETCURSEL,0x147,327
CB_GETLBTEXT,0x148,328
CB_GETLBTEXTLEN,0x149,329
CB_INSERTSTRING,0x14A,330
CB_RESETCONTENT,0x14B,331
CB_FINDSTRING,0x14C,332
CB_SELECTSTRING,0x14D,333
CB_SETCURSEL,0x14E,334
CB_SHOWDROPDOWN,0x14F,335
CB_GETITEMDATA,0x150,336
CB_SETITEMDATA,0x151,337
CB_GETDROPPEDCONTROLRECT,0x152,338
CB_SETITEMHEIGHT,0x153,339
CB_GETITEMHEIGHT,0x154,340
CB_SETEXTENDEDUI,0x155,341
CB_GETEXTENDEDUI,0x156,342
CB_GETDROPPEDSTATE,0x157,343
CB_FINDSTRINGEXACT,0x158,344
CB_SETLOCALE,0x159,345
CB_GETLOCALE,0x15A,346
CB_GETTOPINDEX,0x15B,347
CB_SETTOPINDEX,0x15C,348
CB_GETHORIZONTALEXTENT,0x15D,349
CB_SETHORIZONTALEXTENT,0x15E,350
CB_GETDROPPEDWIDTH,0x15F,351
CB_SETDROPPEDWIDTH,0x160,352
CB_INITSTORAGE,0x161,353
CB_MULTIPLEADDSTRING,0x163,355
CB_GETCOMBOBOXINFO,0x164,356
CB_SETMINVISIBLE,0x1701,5889
CB_GETMINVISIBLE,0x1702,5890
CB_SETCUEBANNER,0x1703,5891
CB_GETCUEBANNER,0x1704,5892
CBEM_INSERTITEMA,0x401,1025
CBEM_SETIMAGELIST,0x402,1026
CBEM_GETIMAGELIST,0x403,1027
CBEM_GETITEMA,0x404,1028
CBEM_SETITEMA,0x405,1029
CBEM_GETCOMBOCONTROL,0x406,1030
CBEM_GETEDITCONTROL,0x407,1031
CBEM_SETEXSTYLE,0x408,1032
CBEM_GETEXTENDEDSTYLE,0x409,1033
CBEM_HASEDITCHANGED,0x40A,1034
CBEM_INSERTITEMW,0x40B,1035
CBEM_SETITEMW,0x40C,1036
CBEM_GETITEMW,0x40D,1037
CBEM_SETEXTENDEDSTYLE,0x40E,1038
CCM_SETBKCOLOR,0x2001,8193
CCM_SETCOLORSCHEME,0x2002,8194
CCM_GETCOLORSCHEME,0x2003,8195
CCM_GETDROPTARGET,0x2004,8196
CCM_SETUNICODEFORMAT,0x2005,8197
CCM_GETUNICODEFORMAT,0x2006,8198
CCM_SETVERSION,0x2007,8199
CCM_GETVERSION,0x2008,8200
CCM_SETNOTIFYWINDOW,0x2009,8201
CCM_SETWINDOWTHEME,0x200B,8203
CCM_DPISCALE,0x200C,8204
CDM_GETSPEC,0x464,1124
CDM_GETFILEPATH,0x465,1125
CDM_GETFOLDERPATH,0x466,1126
CDM_GETFOLDERIDLIST,0x467,1127
CDM_SETCONTROLTEXT,0x468,1128
CDM_HIDECONTROL,0x469,1129
CDM_SETDEFEXT,0x46A,1130
DL_BEGINDRAG,0x485,1157
DL_DRAGGING,0x486,1158
DL_DROPPED,0x487,1159
DL_CANCELDRAG,0x488,1160
DM_GETDEFID,0x400,1024
DM_SETDEFID,0x401,1025
DM_REPOSITION,0x402,1026
DTM_GETSYSTEMTIME,0x1001,4097
DTM_SETSYSTEMTIME,0x1002,4098
DTM_GETRANGE,0x1003,4099
DTM_SETRANGE,0x1004,4100
DTM_SETFORMATA,0x1005,4101
DTM_SETMCCOLOR,0x1006,4102
DTM_GETMCCOLOR,0x1007,4103
DTM_GETMONTHCAL,0x1008,4104
DTM_SETMCFONT,0x1009,4105
DTM_GETMCFONT,0x100A,4106
DTM_SETMCSTYLE,0x100B,4107
DTM_GETMCSTYLE,0x100C,4108
DTM_CLOSEMONTHCAL,0x100D,4109
DTM_GETDATETIMEPICKERINFO,0x100E,4110
DTM_GETIDEALSIZE,0x100F,4111
DTM_SETFORMATW,0x1032,4146
EM_GETSEL,0xB0,176
EM_SETSEL,0xB1,177
EM_GETRECT,0xB2,178
EM_SETRECT,0xB3,179
EM_SETRECTNP,0xB4,180
EM_SCROLL,0xB5,181
EM_LINESCROLL,0xB6,182
EM_SCROLLCARET,0xB7,183
EM_GETMODIFY,0xB8,184
EM_SETMODIFY,0xB9,185
EM_GETLINECOUNT,0xBA,186
EM_LINEINDEX,0xBB,187
EM_SETHANDLE,0xBC,188
EM_GETHANDLE,0xBD,189
EM_GETTHUMB,0xBE,190
EM_LINELENGTH,0xC1,193
EM_REPLACESEL,0xC2,194
EM_GETLINE,0xC4,196
EM_SETLIMITTEXT,0xC5,197
EM_CANUNDO,0xC6,198
EM_UNDO,0xC7,199
EM_FMTLINES,0xC8,200
EM_LINEFROMCHAR,0xC9,201
EM_SETTABSTOPS,0xCB,203
EM_SETPASSWORDCHAR,0xCC,204
EM_EMPTYUNDOBUFFER,0xCD,205
EM_GETFIRSTVISIBLELINE,0xCE,206
EM_SETREADONLY,0xCF,207
EM_SETWORDBREAKPROC,0xD0,208
EM_GETWORDBREAKPROC,0xD1,209
EM_GETPASSWORDCHAR,0xD2,210
EM_SETMARGINS,0xD3,211
EM_GETMARGINS,0xD4,212
EM_GETLIMITTEXT,0xD5,213
EM_POSFROMCHAR,0xD6,214
EM_CHARFROMPOS,0xD7,215
EM_SETIMESTATUS,0xD8,216
EM_GETIMESTATUS,0xD9,217
EM_CANPASTE,0x432,1074
EM_DISPLAYBAND,0x433,1075
EM_EXGETSEL,0x434,1076
EM_EXLIMITTEXT,0x435,1077
EM_EXLINEFROMCHAR,0x436,1078
EM_EXSETSEL,0x437,1079
EM_FINDTEXT,0x438,1080
EM_FORMATRANGE,0x439,1081
EM_GETCHARFORMAT,0x43A,1082
EM_GETEVENTMASK,0x43B,1083
EM_GETOLEINTERFACE,0x43C,1084
EM_GETPARAFORMAT,0x43D,1085
EM_GETSELTEXT,0x43E,1086
EM_HIDESELECTION,0x43F,1087
EM_PASTESPECIAL,0x440,1088
EM_REQUESTRESIZE,0x441,1089
EM_SELECTIONTYPE,0x442,1090
EM_SETBKGNDCOLOR,0x443,1091
EM_SETCHARFORMAT,0x444,1092
EM_SETEVENTMASK,0x445,1093
EM_SETOLECALLBACK,0x446,1094
EM_SETPARAFORMAT,0x447,1095
EM_SETTARGETDEVICE,0x448,1096
EM_STREAMIN,0x449,1097
EM_STREAMOUT,0x44A,1098
EM_GETTEXTRANGE,0x44B,1099
EM_FINDWORDBREAK,0x44C,1100
